"","...1","Year","Datetime","Stage","Stadium","City","Home_Team_Name","Home_Team_Goals","Away_Team_Goals","Away_Team_Name","Win_Conditions","Attendance","Half-time_Home_Goals","Half-time_Away_Goals","Referee","Assistant_1","Assistant_2","RoundID","MatchID","Home_Team_Initials","Away_Team_Initials"
"1",1,1930,1930-07-13 15:00:00,"Group 1","Pocitos","Montevideo","France",4,1,"Mexico",NA,4444,3,0,"LOMBARDI Domingo (URU)","CRISTOPHE Henry (BEL)","REGO Gilberto (BRA)",201,1096,"FRA","MEX"
"2",2,1930,1930-07-13 15:00:00,"Group 4","Parque Central","Montevideo","USA",3,0,"Belgium",NA,18346,2,0,"MACIAS Jose (ARG)","MATEUCCI Francisco (URU)","WARNKEN Alberto (CHI)",201,1090,"USA","BEL"
"3",3,1930,1930-07-14 12:45:00,"Group 2","Parque Central","Montevideo","Yugoslavia",2,1,"Brazil",NA,24059,2,0,"TEJADA Anibal (URU)","VALLARINO Ricardo (URU)","BALWAY Thomas (FRA)",201,1093,"YUG","BRA"
"4",4,1930,1930-07-14 14:50:00,"Group 3","Pocitos","Montevideo","Romania",3,1,"Peru",NA,2549,1,0,"WARNKEN Alberto (CHI)","LANGENUS Jean (BEL)","MATEUCCI Francisco (URU)",201,1098,"ROU","PER"
"5",5,1930,1930-07-15 16:00:00,"Group 1","Parque Central","Montevideo","Argentina",1,0,"France",NA,23409,0,0,"REGO Gilberto (BRA)","SAUCEDO Ulises (BOL)","RADULESCU Constantin (ROU)",201,1085,"ARG","FRA"
"6",6,1930,1930-07-16 14:45:00,"Group 1","Parque Central","Montevideo","Chile",3,0,"Mexico",NA,9249,1,0,"CRISTOPHE Henry (BEL)","APHESTEGUY Martin (URU)","LANGENUS Jean (BEL)",201,1095,"CHI","MEX"
"7",7,1930,1930-07-17 12:45:00,"Group 2","Parque Central","Montevideo","Yugoslavia",4,0,"Bolivia",NA,18306,0,0,"MATEUCCI Francisco (URU)","LOMBARDI Domingo (URU)","WARNKEN Alberto (CHI)",201,1092,"YUG","BOL"
"8",8,1930,1930-07-17 14:45:00,"Group 4","Parque Central","Montevideo","USA",3,0,"Paraguay",NA,18306,2,0,"MACIAS Jose (ARG)","APHESTEGUY Martin (URU)","TEJADA Anibal (URU)",201,1097,"USA","PAR"
"9",9,1930,1930-07-18 14:30:00,"Group 3","Estadio Centenario","Montevideo","Uruguay",1,0,"Peru",NA,57735,0,0,"LANGENUS Jean (BEL)","BALWAY Thomas (FRA)","CRISTOPHE Henry (BEL)",201,1099,"URU","PER"
"10",10,1930,1930-07-19 12:50:00,"Group 1","Estadio Centenario","Montevideo","Chile",1,0,"France",NA,2000,0,0,"TEJADA Anibal (URU)","LOMBARDI Domingo (URU)","REGO Gilberto (BRA)",201,1094,"CHI","FRA"
